"ID";"Imagen";"Nombre";"Referencia";"Categoría";"Precio base";"Precio final";"Cantidad";"Estado";
"12943";"http://pedregosa.local/img/p/7/0/7/5/7075.jpg";"LEXMARK C-782/X-782 Cartucho de impresion Magenta retornable (15.000 pág)";"C782X1MG";"";"386.590000";"467.77";"1000";"1";
"14615";"http://pedregosa.local/img/p/6/9/7/9/6979.jpg";"KYOCERA TONER LASER NEGRO FS-C1020 MFP 6.500 PAGINAS TK-150BK FS-C1020MFP+";"1T05JK0NL0";"";"123.910000";"149.93";"1000";"1";
"30674";"http://pedregosa.local/img/p/6/2/3/7/6237.jpg";"EPSON Expression Home XP-235 Cartucho Multipack 4 colores nº29";"C13T29864012";"";"30.240000";"36.59";"999";"1";
"32394";"http://pedregosa.local/img/p/8/7/5/6/8756.jpg";"Canon iPF PRO2000/4000/4000S/6000S Cartucho Cian PFI-1700";"0776C001AA";"";"219.090000";"265.1";"1000";"1";
"5949";"http://pedregosa.local/img/p/6/7/1/9/6719.jpg";"IBM INFOPRINT 1354 Toner Magenta Retornable";"75P4053";"";"202.330000";"244.82";"1000";"1";
"11309";"http://pedregosa.local/img/p/8/5/0/4/8504.jpg";"RICOH 1060/1075/2051/2060/2075, AP900, MP5500, SP6500/7500/9100 Toner  Type 6210D";"841992/842116";"";"68.390000";"82.75";"1000";"1";
"3006";"http://pedregosa.local/img/p/5/0/3/4/5034.jpg";"Epson GF Stylus Pro-4000/4400/7600/9600 Cartucho Negro Photo (220ml)";"C13T544100";"";"81.280000";"98.35";"1000";"1";
"15044";"http://pedregosa.local/img/p/4/1/0/4/4104.jpg";"Cartucho de tóner Original HP 305A Amarillo para HP Lasert PRO 300, M351, M375, 400, M451, M475";"CE412A";"TONER IMPRESORA";"95.960000";"116.11";"1000";"1";
"17862";"http://pedregosa.local/img/p/7/9/2/1/7921.jpg";"Samsung CLP-360/CLP-365 Rainbow Toner Kit (C/M/Y/K)";"CLT-P406C";"";"134.810000";"163.12";"1000";"1";
"32564";"http://pedregosa.local/img/p/8/7/6/8/8768.jpg";"Canon iPF PRO2000 cartucho de mantenimiento MC-30";"1156C002AA";"";"56.290000";"68.11";"1000";"1";
"55551";"http://pedregosa.local/img/p/3/2/0/8/3208.jpg";"HP Cartucho GF para Z6200 LGY 771C 775ml PK3";"B6Y38A";"TINTA IMPRESORA";"597.912000";"723.47";"1000";"0";
"11430";"http://pedregosa.local/img/p/3/0/2/2/3022.jpg";"HP Designjet T-610/1100 Cartucho Gris nº72 (130ml)";"C9374A";"TINTA IMPRESORA";"61.084800";"73.91";"1000";"0";
"12435";"http://pedregosa.local/img/p/6/1/9/2/6192.jpg";"Epson GF Stylus Photo 7900/9900 Cartucho Naranja";"C13T636A00";"";"213.190000";"257.96";"1000";"1";
"18980";"http://pedregosa.local/img/p/4/0/2/1/4021.jpg";"MAQUINA ROTULADORA BROTHER P-TOUCH PTP750W";"PTP750W";"ROTULADORAS";"91.110000";"110.24";"1000";"0";
"30109";"http://pedregosa.local/img/p/7/1/6/9/7169.jpg";"OKI B412/B432/B512/MB472/MB492/MB562 Toner negro 7k";"45807106";"";"94.520000";"114.37";"1000";"1";
"18057";"http://pedregosa.local/img/p/6/9/8/8/6988.jpg";"KYOCERA-MITA FS-1035MFP/FS-1135MFP M2035/M2535dn MK1140 Kit de mantenimiento";"1702ML0NL0";"";"113.930000";"137.86";"999";"1";
"4948";"http://pedregosa.local/img/p/4/5/7/0/4570.jpg";"Pack de ahorro de 2 cartuchos de tinta original HP 56 negro. Rendimiento de 520/520 páginas";"C9502AE";"TINTA IMPRESORA";"41.610000";"50.35";"999";"1";
"56003";"http://pedregosa.local/img/p/5/9/7/6/5976.jpg";"Impresora de Etiquetas y Tickets Brother TD-2020";"TD2020";"IMPRESORAS";"213.080000";"257.83";"1000";"1";
"12605";"http://pedregosa.local/img/p/8/5/6/7/8567.jpg";"Brother Montura de 14mmx38mm azul (Pack 6)";"PR-1438E";"";"23.750000";"28.74";"1000";"1";
"13738";"http://pedregosa.local/img/p/4/1/0/2/4102.jpg";"Cartucho de tóner original LaserJet HP 646A magenta para Laserjet Enterprise  serie CM4540mfp";"CF033A";"TONER IMPRESORA";"203.600000";"246.36";"1000";"1";
